iter	Passed	Remaining
269	1335	3610
270	1336	3595
271	1338	3581
272	1342	3575
273	1344	3561
274	1346	3549
275	1348	3537
276	1350	3525
277	1352	3512
278	1353	3498
279	1358	3493
280	1360	3481
281	1364	3473
282	1365	3460
283	1367	3446
284	1368	3433
285	1372	3425
286	1373	3412
287	1375	3399
288	1377	3389
289	1379	3376
290	1380	3363
291	1381	3350
292	1383	3338
293	1387	3331
294	1389	3319
295	1392	3311
296	1395	3302
297	1397	3291
298	1402	3288
299	1404	3276
300	1406	3265
301	1407	3253
302	1409	3241
303	1410	3229
304	1412	3217
305	1413	3206
306	1420	3206
307	1424	3199
308	1425	3187
309	1426	3176
310	1428	3164
311	1432	3159
312	1434	3149
313	1437	3140
314	1439	3131
315	1445	3129
316	1449	3122
317	1458	3128
318	1461	3119
319	1463	3109
320	1465	3099
321	1467	3090
322	1469	3081
323	1471	3070
324	1475	3065
325	1478	3056
326	1479	3045
327	1481	3035
328	1483	3025
329	1484	3014
330	1485	3003
331	1489	2997
332	1491	2986
333	1492	2976
334	1494	2967
335	1499	2962
336	1505	2961
337	1506	2951
338	1509	2942
339	1512	2936
340	1521	2941
341	1524	2933
342	1536	2942
343	1539	2935
344	1540	2925
345	1550	2930
346	1552	2921
347	1554	2912
348	1556	2903
349	1566	2909
350	1569	2902
351	1571	2893
352	1582	2901
353	1586	2894
354	1587	2885
355	1599	2892
356	1601	2885
357	1603	2875
358	1616	2886
359	1618	2877
360	1620	2868
361	1630	2873
362	1632	2864
363	1633	2854
364	1635	2845
365	1644	2848
366	1647	2841
367	1650	2835
368	1663	2845
369	1665	2836
370	1667	2827
371	1670	2819
372	1672	2810
373	1686	2823
374	1700	2833
375	1703	2826
376	1714	2833
377	1717	2826
378	1728	2832
379	1731	2825
380	1734	2817
381	1747	2827
382	1749	2818
383	1764	2830
384	1799	2873
385	1814	2886
386	1826	2893
387	1828	2884
388	1830	2874
389	1843	2883
390	1847	2876
391	1860	2885
392	1862	2876
393	1872	2880
394	1875	2872
395	1877	2863
396	1886	2865
397	1889	2858
398	1891	2848
399	1892	2839
400	1904	2844
401	1906	2836
402	1908	2827
403	1921	2834
404	1923	2825
405	1924	2815
406	1927	2807
407	1929	2799
408	1931	2790
409	1934	2784
410	1947	2790
411	1949	2782
412	1952	2774
413	1963	2779
414	1967	2772
415	1979	2778
416	1981	2769
417	1983	2762
418	1996	2768
